Town,pop.total,pop.white,pop.black,pop.asian,pop.latino,pop.college,household.income,household.size,white.pct,black.pct,asian.pct,latino.pct,college.pct,E_TOTPOP.town,RPL_THEME1.town,RPL_THEME2.town,RPL_THEME3.town,RPL_THEME4.town,RPL_THEMES.town
Abington,16330,14878,261,605,339,1043,90873,2.53,0.9110838946723822,0.015982853643600733,0.037048377219840785,0.020759338640538885,0.06387017758726271,21043,0.42780821175687883,0.37585349047189087,0.47559806586513326,0.22948146652093335,0.34334214228009313
Acton,23497,16329,366,5896,741,1136,138090.02740775418,2.6562620760097033,0.694939779546325,0.015576456568923692,0.25092565008298934,0.031535940758394686,0.048346597437970804,30359,0.14587228169570804,0.24382147962712866,0.6526991995783786,0.4909361079086927,0.33909172238874796
Acushnet,10483,9631,8,164,353,773,72125,2.58,0.9187255556615472,7.631403224267863e-4,0.015644376609749117,0.033673566727081945,0.07373843365448822,13856,0.6490189376443417,0.6724595987297922,0.45451990473441106,0.6054047416281756,0.662546470842956
Adams,8209,7976,54,49,88,234,49301,2.13,0.9716165184553539,0.006578145937385796,0.005969058350590815,0.010719941527591668,0.028505299062005118,11344,0.676132616361072,0.6673823871650211,0.12537150035260933,0.3887453455571227,0.5196306241184767
Agawam,28744,26945,494,629,1577,1644,66785.67774144169,2.3767419287503477,0.9374130253270248,0.017186195379905372,0.02188282772056777,0.05486362371277484,0.05719454494851099,44913,0.4718281989624385,0.590416614343286,0.3138469396388573,0.35542334290739874,0.4227385500857213
Alford,1369,1207,56,31,37,66,71989,2.27,0.8816654492330168,0.04090577063550037,0.022644265887509132,0.02702702702702703,0.04821037253469686,5058,0.34542775800711745,0.6174684064847766,0.1564141162514828,0.28594717279557136,0.29782574139976276
Amesbury,17378,16415,137,199,471,801,80721,2.39,0.9445851076073196,0.007883530901139371,0.01145126021406376,0.0271032339739901,0.046092760962136034,17378,0.37007689607549776,0.6695881401772356,0.14727651053055585,0.49642898492346643,0.41872763839337096
Amherst,71370,53911,4113,8369,5036,36425,47456.03219840269,2.451739386296763,0.7553734061930784,0.057629255989911726,0.117262154967073,0.07056186072579515,0.5103685021717809,102410,0.7371192930377893,0.1999688409335026,0.4024739068450346,0.6257038902450932,0.5353010584903818
Andover,35609,28594,972,4966,1562,2481,148125,2.73,0.8029992417647224,0.027296469993540958,0.13945912550197984,0.043865314948468084,0.06967339717487152,35609,0.12100089303266029,0.3389176893481985,0.44498331882389286,0.32540831250526553,0.22199195708949984
Aquinnah,1463,1206,15,4,109,93,93250,3.03,0.8243335611756665,0.010252904989747095,0.002734107997265892,0.07450444292549556,0.063568010936432,4218,0.1241,0.3865,0.1634,0.2846,0.15310000000000001
Arlington,45147,36371,1188,5321,2286,2316,106914.9287438811,2.3866872660420406,0.805612776042705,0.02631404080005316,0.11785943695040645,0.050634593660708355,0.051299089640507674,69777,0.19773934534302132,0.3605394427963369,0.5508986112902532,0.547208021267753,0.3927953494704559
Ashburnham,6253,6002,59,10,81,721,97561,3,0.9598592675515752,0.009435470973932512,0.0015992323684631377,0.012953782184551415,0.11530465376619223,14935,0.5219787947773686,0.5793443321057918,0.0911174891195179,0.7061788617341813,0.5204444526280549
Ashby,3215,3121,7,21,105,178,101357,2.9,0.9707620528771385,0.002177293934681182,0.006531881804043546,0.03265940902021773,0.05536547433903577,3215,0.5058,0.1696,0.1135,0.1962,0.17980000000000002
Ashfield,1367,1309,2,6,35,84,71346,2.32,0.9575713240673006,0.001463057790782736,0.0043891733723482075,0.025603511338697878,0.061448427212874905,3419,0.1597,0.5294,0.0519,0.32849999999999996,0.186
Ashland,17576,14570,445,1808,1241,952,121406,2.62,0.8289713245334547,0.025318616294947655,0.10286754665452891,0.07060764679107874,0.0541647701411015,17576,0.1320693218024579,0.2484170573509331,0.5796625682749202,0.16186412152935822,0.17364379267182523
Athol,13383,12475,77,122,559,595,57164,2.51,0.9321527310767391,0.005753567959351416,0.009116042740790555,0.04176940895165508,0.0444593887768064,14662,0.7489480561997,0.7546315032055654,0.18520049106533898,0.5693407720638385,0.6275264220433775
Attleboro,44548,39293,1275,2071,3214,2221,74255,2.53,0.8820373529675856,0.028620813504534433,0.04648918021011044,0.07214689772829308,0.04985633474005567,51377,0.5322648656013391,0.6006957471241996,0.3976765829067481,0.469535560659439,0.5106474278373591
Auburn,16549,15698,220,334,740,1078,83441,2.45,0.9485769532902291,0.013293854613571817,0.020182488367877213,0.044715692791105204,0.0651398876065019,16633,0.3598584981662959,0.37490588588949675,0.18777683520711838,0.43533880839295375,0.31426935609932066
Avon,4482,3320,591,331,232,306,69868,2.83,0.7407407407407407,0.1318607764390897,0.07385095939312807,0.05176260597947345,0.06827309236947791,4482,0.5915,0.2585,0.6042,0.4451,0.536
Ayer,15524,14022,538,654,922,1428,91156,2.27,0.903246585931461,0.03465601649059521,0.042128317443957744,0.05939190930172636,0.09198660139139397,16110,0.2968,0.2907,0.2365,0.7497,0.407
Barnstable,43745,39577,2147,334,2232,1997,71326.83241513316,2.301788775860098,0.9047205394902275,0.049079894845125156,0.007635158303806149,0.05102297405417762,0.04565093153503257,113056,0.3941237899801868,0.5079804601259552,0.2282695761392584,0.3058591565242004,0.3018825298966884
Barre,5539,5270,115,39,89,326,67937.86206896552,2.74695612926521,0.951435277125835,0.020761870373713666,0.007040982126737678,0.01606788228922188,0.058855389059397,11078,0.5147,0.3885,0.0328,0.7325,0.4612
Becket,4804,4506,122,8,220,142,75852,2.3,0.9379683597002498,0.0253955037468776,0.0016652789342214821,0.04579517069109076,0.029558701082431308,4804,0.5072,0.4945,0.1415,0.1447,0.2533
Bedford,16114,12664,544,2283,780,917,125579.31506764304,2.7427851557651732,0.7859004592280004,0.0337594638202805,0.14167804393694924,0.048405113565843365,0.05690703735881842,32980,0.20637953305033355,0.5254712431776835,0.4968172468162523,0.4615547422680413,0.3928912431776834
Belchertown,14967,14178,85,496,208,1067,93300,2.7299999999999995,0.9472840248546803,0.005679160820471704,0.03313957372887018,0.013897240595977817,0.07129017171109775,14967,0.3436973742232912,0.37513937996926566,0.23336176922562973,0.36062455401884147,0.29143101489944545
Bellingham,17016,15906,269,187,455,1048,99569,2.64,0.9347672778561354,0.01580865068171133,0.010989656793606018,0.026739539257169723,0.0615890926187118,17016,0.34498302773859896,0.2099654442877292,0.22681937000470145,0.16259304184297135,0.14919670897978374
Belmont,26033,20455,370,4207,1311,1452,120398,2.63,0.7857334921061729,0.01421272999654285,0.16160258133906963,0.050359159528291016,0.055775362040487074,26043,0.21595174903044964,0.44970484967169677,0.5828252966248129,0.27654846215873746,0.29743628230234614
Berkley,6679,6495,6,1,5,284,94516,2.8400000000000003,0.9724509657134301,8.983380745620602e-4,1.4972301242701004e-4,7.486150621350501e-4,0.04252133552927085,6679,0.11169999999999998,0.1471,0.0499,0.34359999999999996,0.0851
Berlin,3144,3052,17,53,22,225,104063,2.79,0.9707379134860051,0.005407124681933842,0.016857506361323157,0.006997455470737914,0.0715648854961832,3144,0.1953,0.3817,0.18729999999999997,0.3011,0.1908
Bernardston,2498,2475,3,10,1,85,67470,2.37,0.9907926341072858,0.0012009607686148918,0.0040032025620496394,4.0032025620496394e-4,0.034027221777421936,4351,0.4126,0.71,0.0854,0.7106,0.5024
Beverly,41731,38961,702,767,1869,4654,79483,2.3,0.9336224868802568,0.01682202679063526,0.01837962186384223,0.04478684910498191,0.11152380724161894,41731,0.37422065131437066,0.32426451319163213,0.25113591574608807,0.5198263640938391,0.36422173204572145
Billerica,43239,37034,1405,3018,1742,3006,102192.62309489118,2.8132567820717407,0.8564952936006845,0.03249381345544532,0.06979809893845834,0.04028770323087953,0.069520571706098655,76419,0.36084046245043777,0.331481639382876,0.36041724963687044,0.38829077847132254,0.32413292636647956
Blackstone,9246,8800,171,25,259,418,86513,2.68,0.9517629245078953,0.018494484101232965,0.0027038719446247027,0.02801211334631192,0.045208738914125024,9246,0.44769842093878437,0.2754286394116374,0.14042647631408176,0.31241431970581873,0.26102749296993294
Blandford,2394,2366,0,0,40,64,75250,2.35,0.9883040935672515,0,0,0.01670843776106934,0.026733500417710943,14258,0.5284,0.3789,0.0807,0.3052,0.3157
Bolton,5236,4898,16,227,98,279,155093,3.1,0.9354469060351414,0.0030557677616501145,0.043353705118411,0.01871657754010695,0.053284950343773875,5236,0.0178,0.1614,0.1866,0.0645,0.011
Boston,673934,353412,154231,64017,133222,102096,67381.37165657172,2.4075608739134693,0.5244014992566037,0.22885178667347247,0.09499001385892387,0.19767811091293805,0.1514925793920473,1061603,0.6665855985712172,0.406168257908088,0.7499206924810875,0.7566915060526394,0.6888786033008573
Bourne,35635,32820,582,244,1250,2490,72894.27910761892,2.2865912726252278,0.9210046302792199,0.016332257611898413,0.006847200785744353,0.03507787287778869,0.06987512277255507,99833,0.3397455951438903,0.5471565744793806,0.2428522131960374,0.3591028207105867,0.32920538899962937
Boxborough,5794,4203,45,1251,212,467,108207,2.56,0.7254055919917156,0.007766655160510874,0.2159130134622023,0.036589575422851225,0.08060062133241284,5794,0.3345,0.1368,0.5332,0.2695,0.2485
Boxford,8270,7767,0,195,95,411,174340,3,0.9391777509068924,0,0.02357920193470375,0.011487303506650543,0.04969770253929867,8270,0.0973,0.3721,0.1552,0.0165,0.0199
Boylston,4581,4374,12,136,88,274,98520,2.58,0.9548133595284872,0.0026195153896529143,0.02968784108273303,0.01920977952412137,0.05981226806374154,4581,0.1453,0.5048,0.0745,0.1488,0.1084
Braintree,37207,30464,1083,4506,813,1927,94945,2.6,0.8187706614346763,0.02910742602198511,0.12110624344881339,0.021850727013733976,0.05179132958851829,37207,0.36159432096110944,0.5010614104872739,0.5388770312038057,0.5149507834547262,0.49260792861558306
Brewster,9773,9531,72,18,181,342,73534,2.22,0.975237900337665,0.007367236263174051,0.0018418090657935128,0.018520413383812544,0.03499437225007674,12912,0.24902410161090457,0.33215715613382896,0.07980938661710038,0.6069939281288724,0.3036714064436183
Bridgewater,27397,23080,2356,591,1116,5564,92289,2.82,0.8424280030660292,0.08599481695076103,0.021571704931196846,0.04073438697667628,0.20308792933532868,25744,0.5266954047545058,0.3492485122747048,0.3177407745494096,0.40670049331883157,0.38398384866376634
Brimfield,7478,7116,270,34,196,292,84471,2.61,0.9515913345814389,0.036105910671302484,0.004546670232682536,0.026210216635464027,0.03904787376303825,7478,0.5113,0.6983999999999999,0.1244,0.4458,0.464
Brockton,95426,38027,38947,1528,10598,6567,55793.892366860186,2.9174601261710644,0.3984972648963595,0.4081382432460755,0.016012407519963114,0.11105987885901117,0.06881772263324461,97641,0.8017514271668663,0.7653738050613984,0.8521708063211151,0.636755610860192,0.8228599020903105
Brookfield,3431,3111,43,51,0,106,68125,2.33,0.906732730982221,0.012532789274264064,0.01486447099970854,0,0.030894782862139317,3431,0.5209,0.5848,0.2037,0.3964,0.4426999999999999
Brookline,51158,38094,1299,8060,4258,7176,108263.11208413151,2.3125431017631652,0.7446342702998554,0.025391923061886704,0.15755111614996678,0.08323233902810899,0.14027131631416395,78885,0.21309575711478737,0.22691411548456614,0.5819907181339924,0.7861697103378336,0.4427995816695189
Buckland,127,114,0,0,0,0,60625,2.54,0.8976377952755905,0,0,0,0,3790,0.6915999999999999,0.7982,0.0841,0.5885,0.6307
Burlington,27059,20416,1335,4399,605,1476,105443,2.72,0.7544994271776488,0.04933663476107764,0.16257067888687682,0.022358549835544552,0.054547470342584725,27059,0.25437577146236007,0.45628339923870065,0.5468525924830925,0.41947894600687385,0.392104416275546
Cambridge,115791,77554,11859,18416,10729,29557,95428.07814078814,2.1347606463369346,0.6697757165928268,0.10241728631758945,0.15904517622267705,0.0926583240493648,0.25526163518753614,190137,0.41906871150801794,0.11430729368823533,0.5568681350815464,0.7513826751237266,0.44386702062197264
Canton,23134,18887,1533,1720,894,1058,105371,2.53,0.8164173943114031,0.06626610184144549,0.07434944237918216,0.03864441946917956,0.0457335523471946,23134,0.22909119045560647,0.516946325754301,0.4717590386444195,0.5173958070372611,0.4131867727154837
Carlisle,5186,4485,0,583,84,294,171625,2.84,0.8648283841110682,0,0.11241804859236405,0.01619745468569225,0.05669109139992287,5186,0.1213,0.1984,0.3602,0.024,0.0288
Carver,11661,10943,198,162,222,818,66406,2.59,0.938427236086099,0.016979675842552097,0.01389246205299717,0.019037818368922047,0.07014835777377583,11661,0.5535696166709545,0.5606952319698139,0.22082302546951377,0.36989541205728493,0.4290752937140897
Charlemont,1428,1363,6,32,18,46,61500,2.41,0.9544817927170869,0.004201680672268907,0.022408963585434174,0.012605042016806723,0.03221288515406162,8301,0.6759492591254066,0.8093402843030959,0.07073165883628477,0.6242575954704253,0.6340692567160584
Charlton,13482,12972,99,83,568,785,97805,2.73,0.9621717846016912,0.007343124165554072,0.006156356623646343,0.04213024773772437,0.05822578252484795,13482,0.43973224299065417,0.4863036715620828,0.15139759679572765,0.26290754339118827,0.2750642857142857
Chatham,6044,5738,127,38,166,275,73383.99189278623,2.0933272667107876,0.9493712772998014,0.021012574454003972,0.00628722700198544,0.02746525479814692,0.04549966909331569,12310,0.2799883671811535,0.4432565556458164,0.15342950446791226,0.22702281072298944,0.20552719740048742
Chelmsford,35086,30605,291,3175,1271,2183,111359.7043550134,2.5719261243800946,0.8722852419768569,0.00829390640141367,0.09049193410477113,0.03622527503847688,0.06221854870888673,41419,0.19307283372365341,0.46218946377266473,0.2693717062217823,0.32413869238755155,0.2336574639658128
Chelsea,39842,20227,2318,1192,26645,1752,53335,2.98,0.5076803373324632,0.05817981025048943,0.029918176798353496,0.6687666281813162,0.043973696099593396,39852,0.8140808491418248,0.7110294138311753,0.963483373481883,0.837568071865904,0.8885439250225836
Cheshire,3135,3071,10,0,97,133,68264,2.2,0.979585326953748,0.003189792663476874,0,0.03094098883572568,0.04242424242424243,3172,0.6169,0.5705,0.055400000000000005,0.1612,0.3198
Chester,2896,2848,8,4,22,140,64904,2.53,0.9834254143646409,0.0027624309392265192,0.0013812154696132596,0.007596685082872928,0.04834254143646409,20552,0.4826466134682756,0.45472689762553525,0.06057953483845855,0.3541383612300506,0.3243361813935383
Chesterfield,734,709,0,0,26,17,68751.30790190736,2.236594005449591,0.9659400544959128,0,0,0.035422343324250684,0.02316076294277929,2710,0.6662,0.3523,0.0062,0.0624,0.208
Chicopee,55661,47799,2294,1188,11486,3834,50184.94401825336,2.3645954977452797,0.8587520885359587,0.041213776252672425,0.02134349005587395,0.20635633567488906,0.06888126336213866,95836,0.7401367356734423,0.7622162642430819,0.576308642889937,0.45851133081514256,0.6913100400684502
Chilmark,1463,1206,15,4,109,93,93250,3.03,0.8243335611756665,0.010252904989747095,0.002734107997265892,0.07450444292549556,0.063568010936432,4218,0.1241,0.3865,0.1634,0.2846,0.15310000000000001
Clarksburg,15573,14259,262,138,605,1699,41807,2.15,0.9156231939895974,0.01682399023951711,0.008861491042188403,0.03884929043857959,0.10909908174404417,16337,0.7897244659362184,0.8719952622880578,0.24436796229417884,0.6559472363347004,0.7434401175246373
Clinton,13899,12425,136,143,2370,963,66094,2.51,0.8939492049787755,0.009784876609828045,0.010288509964745665,0.1705158644506799,0.06928556011223828,13899,0.45944845672350526,0.44187406288222175,0.4961264191668466,0.5294514425498238,0.4861303115332039
Cohasset,8449,8235,49,64,78,297,132204,2.68,0.9746715587643509,0.00579950289975145,0.007574860930287608,0.009231861758788023,0.03515208900461593,8449,0.1878,0.5616,0.0096,0.3313,0.1833
Colrain,1808,1752,13,5,10,69,55980,2.43,0.9690265486725663,0.007190265486725664,0.0027654867256637168,0.0055309734513274336,0.03816371681415929,4511,0.6628,0.8187,0.0595,0.6543,0.6369
Concord,19350,16107,769,1346,1378,543,141068,2.59,0.8324031007751937,0.03974160206718346,0.06956072351421189,0.07121447028423773,0.028062015503875968,26121,0.19098926534206195,0.45606246315225296,0.5383177787986677,0.5720443244898741,0.4159401707438459
