Town,xname,yname
Abington,-70.9590377674056,42.11805008137206
Acton,-71.43777055995984,42.48431664921973
Acushnet,-70.90116624940181,41.714032585173115
Adams,-73.11873403290166,42.626858652868634
Agawam,-72.652551463386,42.06573681020935
Alford,-73.42589071686703,42.248629915356865
Amesbury,-70.9446445935185,42.8529619288862
Amherst,-72.5068651593738,42.36450602600228
Andover,-71.16507767979908,42.646568196938354
Aquinnah,-70.80465841117272,41.338131252774836
Arlington,-71.16390224066026,42.41866028501542
Ashburnham,-71.9252163229805,42.659010930764744
Ashby,-71.8231851304612,42.6765543691848
Ashfield,-72.80657060648802,42.52018775792611
Ashland,-71.46865482623515,42.25726082459445
Athol,-72.21768158432988,42.58415032371198
Attleboro,-71.29489045849354,41.93111780958303
Auburn,-71.84526949753544,42.19723897113936
Avon,-71.04924415324132,42.12666123489436
Ayer,-71.57175386078953,42.56280360969339
Barnstable,-70.36078618858892,41.67278206480034
Barre,-72.10612441253132,42.42011873413218
Becket,-73.08326807538124,42.28499008070317
Bedford,-71.27829277030975,42.496948320297136
Belchertown,-72.40038446542219,42.278788227606924
Bellingham,-71.47407459670596,42.07779231765403
Belmont,-71.17950719956201,42.39598885814827
Berkley,-71.07377790851474,41.836282236151575
Berlin,-71.63552122959507,42.383785840075845
Bernardston,-72.5490060605278,42.69163962903889
Beverly,-70.86202447728523,42.56878597236589
Billerica,-71.26727092186455,42.55868671194368
Blackstone,-71.53125119807035,42.03992169586819
Blandford,-72.95221394284809,42.18688856116041
Bolton,-71.60728551239039,42.43616710130193
Boston,-71.10160776268563,42.29368965897317
Bourne,-70.58360232753458,41.71895256071455
Boxborough,-71.51779380089305,42.488373871349715
Boxford,-71.01897046363702,42.681525562794484
Boylston,-71.72122886101513,42.35633954914123
Braintree,-71.00255688149578,42.203596403786996
Brewster,-70.06758625920504,41.74658257165011
Bridgewater,-70.97488553608375,41.97283172969256
Brimfield,-72.20621548916318,42.128643360343055
Brockton,-71.02418949830057,42.08206842988748
Brookfield,-72.10441239875337,42.19364742429344
Brookline,-71.14079651432438,42.32426609416201
Buckland,-72.78802277396221,42.591701800728586
Burlington,-71.20268164616981,42.50215946814307
Cambridge,-71.11851033163572,42.37585498204215
Canton,-71.12641328541373,42.17511059914822
Carlisle,-71.35127012241617,42.53001752676742
Carver,-70.75630806647354,41.87391163502764
Charlemont,-72.8648872336476,42.64020874352892
Charlton,-71.96803066852851,42.13510450289922
Chatham,-69.9920534821602,41.6804647258878
Chelmsford,-71.36312566152883,42.599979698930476
Chelsea,-71.03259547286224,42.39648919003968
Cheshire,-73.15120343097391,42.56386116122278
Chester,-72.94004719588057,42.29113364918584
Chesterfield,-72.84456244865602,42.38690996554263
Chicopee,-72.57185204986905,42.17638993690177
Chilmark,-70.73696270325878,41.364353892842786
Clarksburg,-73.10893576552468,42.726656613523446
Clinton,-71.68882409790243,42.41191158739297
Cohasset,-70.82122554265842,42.234764054136626
Colrain,-72.71684058381425,42.68338038167685
Concord,-71.36385842794925,42.46198137940004
Conway,-72.70642184131148,42.508182454282384
Cummington,-72.91958747717004,42.46314114524675
Dalton,-73.15329714377219,42.47956359118069
Danvers,-70.9503255799704,42.57472444336042
Dartmouth,-70.99883279566536,41.613458171151905
Dedham,-71.17765505030556,42.2466324818253
Deerfield,-72.60972255223747,42.52204022471355
Dennis,-70.17536600056035,41.71128974164869
Dighton,-71.15596445855624,41.836517381403446
Douglas,-71.75149616429437,42.052411306666876
Dover,-71.28420361283274,42.23661763032413
Dracut,-71.3009247625534,42.6832782294315
Dudley,-71.93517631040312,42.05500175209159
Dunstable,-71.5005454851759,42.676415277504546
Duxbury,-70.72632293516195,42.046325521926406
East Bridgewater,-70.94238567777202,42.03514941008927
East Brookfield,-72.04671898260699,42.203272411992884
East Longmeadow,-72.49905306121825,42.05977753279642
Eastham,-69.98672910370777,41.843318847837104
Easthampton,-72.67205396427293,42.26514366904031
Easton,-71.11030487195593,42.036230600882575
Edgartown,-70.54206675972799,41.37879302224113
Egremont,-73.43938465665644,42.17027024931907
Erving,-72.42908000237021,42.6076031598745
Essex,-70.77590836657637,42.63698214715347
Everett,-71.0536630165769,42.40730395803591
Fairhaven,-70.87191790519604,41.65970597971095
Fall River,-71.09889387826651,41.71343464600549
Falmouth,-70.59147121866113,41.6041141430324
Fitchburg,-71.81560293646834,42.591257391098836
Florida,-73.01449250863485,42.68036343812297
Foxborough,-71.24613206059625,42.062671004010134
Framingham,-71.43675775178185,42.30855011375701
Franklin,-71.41127829879336,42.08622995223321
Freetown,-71.0135549558127,41.77110002673288
Gardner,-71.98675622356181,42.584530199169485
Georgetown,-70.98211129957367,42.72401032084023
Gill,-72.5111250727175,42.63374169003927
Gloucester,-70.69087752701923,42.62859980611914
Goshen,-72.80644846844172,42.44249427303229
Gosnold,-70.77999975846039,41.44977814701588
Grafton,-71.68375923882112,42.208551254283876
Granby,-72.50361989080179,42.26083256435498
Granville,-72.90858570421705,42.08168963873458
Great Barrington,-73.34157775804297,42.211006330442196
Greenfield,-72.59855816667387,42.61403823490843
Groton,-71.56141271213275,42.61368153034537
Groveland,-71.0148702044097,42.75198886825139
Hadley,-72.56922315734921,42.35566287967733
Halifax,-70.863247067112,41.99139493078347
Hamilton,-70.85794421001196,42.62667118172046
Hampden,-72.41564241928855,42.063854793856486
Hancock,-73.3197826148549,42.53138941798899
Hanover,-70.8566535117031,42.12240544503665
Hanson,-70.87232537537625,42.055773767410535
Hardwick,-72.21503403770313,42.35479277021362
Harvard,-71.58529791017726,42.505915355512
Harwich,-70.0784589876324,41.6999444091755
Hatfield,-72.62173838144582,42.38791929969591
Haverhill,-71.08715748343566,42.78389156540914
Hawley,-72.90651686036769,42.58487918981332
Heath,-72.82020002252524,42.68953830598241
Hingham,-70.88516588206421,42.21688413566784
Hinsdale,-73.11337492427063,42.4348426329046
Holbrook,-71.00568246870513,42.14705366570117
Holden,-71.86076638140372,42.356163782209784
Holland,-72.16594136989548,42.06017582601458
