long,lat,order,hole,piece,group,id,Town
-71.06285956,42.35559135,7623,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.06316956,42.35530135,7624,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.06333956,42.35511135,7625,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.06364956,42.35460135,7626,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.06374239,42.35441569,7627,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.06388956,42.35412135,7628,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.06412956,42.35359135,7629,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.06424956,42.35372135,7630,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.06437956,42.35341135,7631,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.06438787,42.35338437,7632,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.06453956,42.35289135,7633,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.06467956,42.35245135,7634,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.06457956,42.35235135,7635,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.06411956,42.35233135,7636,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.06387956,42.35232135,7637,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.06347957,42.35230135,7638,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.06313957,42.35231135,7639,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.06259956,42.35236135,7640,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.06271957,42.35186135,7641,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.06272444,42.35183978,7642,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.06278956,42.35155135,7643,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.06280957,42.35146135,7644,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
