reportdate,Town,Age_group,pop,onedose,fullvax,boostvax,anydose.pct,fullvax.pct,boostvax.pct
2022-03-24,Barnstable,5-11 Years,2594.19737266,1360,1167,0,0.5242469267500272,0.4498501202332954,0
2022-03-24,Barnstable,12-15 Years,1725.22448488,1601,1406,284,0.9279951762980916,0.8149664071674684,0.16461625863126672
2022-03-24,Barnstable,16-19 Years,1726.65619812,1736,1506,562,1.00541150107947,0.8722060602682499,0.3254845988517639
2022-03-24,Bourne,5-11 Years,1114.94644082,390,330,1,0.3497925870889099,0.29597834292138536,8.969040694587435e-4
2022-03-24,Bourne,12-15 Years,715.66275584,482,446,99,0.6735015844638423,0.6231985615578293,0.1383333129915361
2022-03-24,Bourne,16-19 Years,1175.83312669,793,699,297,0.6744154268151256,0.5944721101434713,0.25258686224980115
2022-03-24,Brewster,5-11 Years,516.07040506,256,241,0,0.4960563471378225,0.4669905455477157,0
2022-03-24,Brewster,12-15 Years,369.26781204,300,275,75,0.8124184947035222,0.7447169534782287,0.20310462367588056
2022-03-24,Brewster,16-19 Years,366.58085854,292,267,141,0.7965500467290165,0.7283522687556419,0.3846354677698333
2022-03-24,Chatham,5-11 Years,225.30762591,110,99,0,0.4882213797944856,0.43939924181503703,0
2022-03-24,Chatham,12-15 Years,166.83670361,143,126,34,0.8571255419567565,0.7552294985073519,0.20379208689880923
2022-03-24,Chatham,16-19 Years,140.47022596,167,154,62,1.188864037618581,1.0963177352889908,0.44137467264881447
2022-03-24,Dennis,5-11 Years,613.37202818,244,208,0,0.3978009899212355,0.33910904058859426,0
2022-03-24,Dennis,12-15 Years,394.14676865,296,257,52,0.7509892850671731,0.6520413725076469,0.13193055007936824
2022-03-24,Dennis,16-19 Years,398.47753723,354,310,129,0.888381318708242,0.7779610418066526,0.32373217546147803
2022-03-24,Eastham,5-11 Years,157.92526986,109,98,0,0.6901998653960065,0.6205466679707214,0
2022-03-24,Eastham,12-15 Years,98.51048078,129,111,45,1.3095053336313645,1.126783659171174,0.45680418615047597
2022-03-24,Eastham,16-19 Years,125.14338511,156,138,48,1.246570083291876,1.1027350736812749,0.3835600256282695
2022-03-24,Falmouth,5-11 Years,1725.49639901,859,747,0,0.4978277558231066,0.43291889825362123,0
2022-03-24,Falmouth,12-15 Years,1177.96942218,966,869,227,0.8200552423612827,0.7377101507370131,0.19270449277019788
2022-03-24,Falmouth,16-19 Years,1164.44724223,1092,955,450,0.9377840063485758,0.8201316172737088,0.3864494531656219
2022-03-24,Harwich,5-11 Years,707.95886006,322,292,0,0.4548286887358261,0.41245334506478637,0
2022-03-24,Harwich,12-15 Years,457.45171376,377,343,83,0.8241306976451538,0.7498059132421425,0.18143991486617445
2022-03-24,Harwich,16-19 Years,426.3638169,406,363,182,0.9522384027611419,0.8513855670007254,0.4268654908929257
2022-03-24,Mashpee,5-11 Years,933.97498284,323,287,0,0.34583367427876105,0.30728874463778455,0
2022-03-24,Mashpee,12-15 Years,556.58996647,406,366,89,0.7294418233496547,0.6575756338570778,0.15990227162098342
2022-03-24,Mashpee,16-19 Years,585.11566389,506,461,185,0.8647862828282213,0.7878784118257115,0.3161768030103181
2022-03-24,Orleans,5-11 Years,172.31904194,125,107,0,0.7253986477218456,0.6209412424498998,0
2022-03-24,Orleans,12-15 Years,155.61814145,151,139,44,0.9703238876459414,0.893212055515138,0.28274338447961206
2022-03-24,Orleans,16-19 Years,108.21735758,157,144,65,1.4507838992828603,1.330655296157528,0.6006430156266619
2022-03-24,Provincetown,5-11 Years,56.89644853,41,31,0,0.7206073675825615,0.5448494730502295,0
2022-03-24,Provincetown,12-15 Years,33.73654177,52,48,9,1.5413553752637639,1.4227895771665513,0.2667730457187284
2022-03-24,Provincetown,16-19 Years,41.15225168,66,58,16,1.6038004557615984,1.4094004005177683,0.3888001104876602
2022-03-24,Sandwich,5-11 Years,1503.80865776,632,582,0,0.4202662331665229,0.38701732231474106,0
2022-03-24,Sandwich,12-15 Years,1054.58162023,731,677,173,0.6931658830167853,0.641960742547693,0.1640460981694991
2022-03-24,Sandwich,16-19 Years,1088.22034858,860,780,395,0.7902811237836153,0.7167666006409534,0.3629779580168931
2022-03-24,Truro,5-11 Years,67.47532245,50,48,0,0.7410116496597787,0.7113711836733876,0
2022-03-24,Truro,12-15 Years,43.59485444,58,48,16,1.3304322435535583,1.1010473739753586,0.3670157913251195
2022-03-24,Truro,16-19 Years,51.29510511,59,50,25,1.1502072151617042,0.9747518772556815,0.48737593862784073
2022-03-24,Wellfleet,5-11 Years,104.93219073,95,91,1,0.9053465799112455,0.8672267239149826,0.009529963999065742
2022-03-24,Wellfleet,12-15 Years,59.20722834,78,70,27,1.3174067117629915,1.182288074659095,0.4560254002256509
2022-03-24,Wellfleet,16-19 Years,66.36298782,109,94,49,1.6424818047018426,1.416452198550213,0.7383633800953238
2022-03-24,Yarmouth,5-11 Years,1223.84524372,532,442,0,0.4346954835424557,0.3611567739206117,0
2022-03-24,Yarmouth,12-15 Years,834.02940945,611,541,97,0.7325880755247269,0.6486581814384244,0.11630285323387646
2022-03-24,Yarmouth,16-19 Years,773.815362,722,630,252,0.9330391143100619,0.8141477036223532,0.3256590814489413
2022-03-24,Adams,5-11 Years,572.76577753,263,240,0,0.4591754785597761,0.419019448115385,0
2022-03-24,Adams,12-15 Years,327.82515811,243,229,58,0.7412487845684578,0.6985430932764478,0.17692357820975535
2022-03-24,Adams,16-19 Years,328.90389611,279,257,107,0.8482721041002508,0.7813832643504103,0.32532299332877
2022-03-24,Becket,5-11 Years,107.49176524,66,61,0,0.6140005222971254,0.5674853312140099,0
2022-03-24,Becket,12-15 Years,62.37707666,73,67,17,1.1703017183364104,1.0741125360073904,0.2725360165988901
2022-03-24,Becket,16-19 Years,58.73054312,57,55,30,0.9705341883785392,0.9364803572073624,0.5108074675676522
2022-03-24,Cheshire,5-11 Years,146.12956408,112,106,0,0.7664431267220133,0.7253836735047626,0
2022-03-24,Cheshire,12-15 Years,107.72834767,107,93,24,0.993239034239798,0.8632825250869273,0.22278258711920704
2022-03-24,Cheshire,16-19 Years,104.68388792,122,110,51,1.1654133451103101,1.050782524279788,0.48718098852971986
2022-03-24,Dalton,5-11 Years,501.42301072,276,252,0,0.5504334545869523,0.5025696759272174,0
2022-03-24,Dalton,12-15 Years,299.48227929,250,232,57,0.8347739325100954,0.7746702093693685,0.19032845661230174
2022-03-24,Dalton,16-19 Years,341.60154643,279,254,113,0.816741033276241,0.7435563528751441,0.33079475541295783
2022-03-24,Egremont,5-11 Years,55.45293872,13,13,0,0.23443302194751564,0.23443302194751564,0
2022-03-24,Egremont,12-15 Years,28.5849883,NA,NA,NA,NA,NA,NA
2022-03-24,Egremont,16-19 Years,25.61807261,NA,NA,NA,NA,NA,NA
2022-03-24,Florida,5-11 Years,51.26466519,6,5,0,0.1170396798216171,0.09753306651801426,0
2022-03-24,Florida,12-15 Years,40.45000858,1,1,0,0.024721873618944977,0.024721873618944977,0
2022-03-24,Florida,16-19 Years,22.48599616,NA,NA,NA,NA,NA,NA
2022-03-24,Great Barrington,5-11 Years,422.82895129,363,294,0,0.8585031817062925,0.6953166265059229,0
2022-03-24,Great Barrington,12-15 Years,273.6954217,352,312,106,1.286101162429492,1.1399533030625042,0.3872918273225175
2022-03-24,Great Barrington,16-19 Years,569.10803978,501,391,156,0.8803249382905775,0.6870400216998319,0.2741131544377846
2022-03-24,Hinsdale,5-11 Years,155.53458932,96,79,0,0.6172260486861071,0.507925602564609,0
2022-03-24,Hinsdale,12-15 Years,87.66805165,88,71,16,1.0037864232608391,0.8098731369490861,0.18250662241106166
2022-03-24,Hinsdale,16-19 Years,103.9581224,93,85,38,0.8945909934979742,0.8176369295411592,0.36553180379487116
